state,year,vehicle_segment,ice_vehicle_registrations,ev_vehicle_registrations
West Bengal,2019,4W,116869,24196
Uttar Pradesh,2022,3W,124189,33539
Bihar,2020,3W,56556,16187
Odisha,2017,3W,77890,6960
Rajasthan,2021,2W,120801,22931
West Bengal,2023,3W,54553,17348
Maharashtra,2023,2W,104815,19727
Assam,2018,4W,65350,6763
Punjab,2018,4W,139103,40546
West Bengal,2020,4W,92593,30219
Uttar Pradesh,2023,2W,109146,12369
Bihar,2018,4W,38749,10884
Karnataka,2021,4W,74213,10261
Gujarat,2019,2W,74802,15020
Tamil Nadu,2016,4W,89280,95
Punjab,2023,2W,45299,8883
Uttar Pradesh,2024,2W,71050,11709
Telangana,2021,3W,56412,13450
Rajasthan,2021,4W,57577,17714
Punjab,2021,2W,92004,26061
West Bengal,2022,2W,29627,6313
Haryana,2020,2W,71343,5615
Tamil Nadu,2023,4W,72791,6395
Bihar,2018,4W,75252,10071
Maharashtra,2022,4W,25833,5883
Uttar Pradesh,2023,2W,61233,11415
Madhya Pradesh,2017,3W,78065,31154
Rajasthan,2021,3W,39546,7599
Punjab,2021,3W,64036,5278
Tamil Nadu,2021,2W,58800,9678
Uttar Pradesh,2017,4W,108660,23431
Haryana,2020,3W,99188,25637
Karnataka,2024,4W,47024,13197
Uttar Pradesh,2021,3W,95344,9918
Tamil Nadu,2019,3W,106300,17755
Kerala,2023,4W,61565,8198
Maharashtra,2022,3W,105450,25999
Bihar,2020,4W,43744,11502
Tamil Nadu,2022,2W,53962,9247
Odisha,2020,4W,69061,17112
Bihar,2017,3W,71828,13512
Haryana,2023,3W,113340,10324
Delhi,2023,4W,99545,35620
Odisha,2018,4W,83924,3232
Kerala,2021,4W,95020,10309
Telangana,2018,4W,121414,40417
Maharashtra,2018,3W,97892,10514
Kerala,2017,2W,72950,11708
Punjab,2024,4W,44806,1196
Rajasthan,2017,4W,104412,20582
Bihar,2016,4W,66348,6077
Kerala,2016,4W,23814,3634
Telangana,2016,2W,101107,34329
Delhi,2017,3W,71491,11671
Uttar Pradesh,2023,3W,77756,33021
West Bengal,2021,4W,89410,19751
Rajasthan,2016,3W,20095,1157
Punjab,2023,4W,70108,3684
Madhya Pradesh,2023,2W,57413,15599
Chhattisgarh,2021,3W,98029,33392
Uttar Pradesh,2023,3W,102863,0
Maharashtra,2018,2W,76442,14404
Bihar,2024,2W,113785,16016
Punjab,2020,3W,76509,14324
Rajasthan,2018,4W,95635,0
Jharkhand,2019,2W,55322,1508
Chhattisgarh,2023,4W,48400,0
Punjab,2020,4W,104773,8979
Punjab,2020,3W,56132,23896
Odisha,2021,3W,67722,13756
Bihar,2017,4W,90451,30931
Tamil Nadu,2019,2W,46023,898
Bihar,2022,3W,86729,24782
Gujarat,2021,2W,52316,5350
Uttar Pradesh,2023,3W,79560,14071
Haryana,2024,3W,142359,24051
Kerala,2023,2W,13764,3768
Haryana,2019,4W,39257,7412
Uttar Pradesh,2017,4W,95453,15526
Karnataka,2021,4W,106786,16376
Chhattisgarh,2019,2W,65282,22382
Kerala,2016,2W,37415,9895
Madhya Pradesh,2021,4W,106640,24598
Telangana,2021,2W,107418,25381
Punjab,2016,4W,69682,21813
Gujarat,2019,2W,109255,24128
Maharashtra,2019,3W,56827,18552
Madhya Pradesh,2024,4W,60271,5360
Delhi,2016,3W,96114,6645
Odisha,2022,2W,123494,40125
Tamil Nadu,2018,3W,99564,22125
Kerala,2020,2W,76489,18430
Madhya Pradesh,2022,3W,76312,17882
Assam,2016,3W,72665,20946
Odisha,2020,4W,93719,13401
Telangana,2021,2W,71665,22578
West Bengal,2020,2W,75808,13201
Chhattisgarh,2017,3W,70616,3690
Chhattisgarh,2018,3W,66104,2351
Assam,2018,4W,99084,24184
Telangana,2018,2W,70103,19868
Telangana,2020,2W,76009,18271
Bihar,2018,3W,133657,51410
Jharkhand,2019,4W,68467,18741
Chhattisgarh,2016,4W,96077,12788
Bihar,2024,3W,104403,38672
Tamil Nadu,2019,2W,89588,12484
Chhattisgarh,2024,3W,98639,5529
Rajasthan,2020,2W,58149,9133
Assam,2022,3W,102422,19929
Odisha,2017,4W,122417,25103
Jharkhand,2021,4W,59320,3302
Delhi,2017,2W,55502,4805
Delhi,2018,4W,14969,2514
Odisha,2022,2W,147662,21653
Haryana,2018,2W,65005,11013
Jharkhand,2016,2W,73587,3401
Odisha,2016,4W,104986,28331
Madhya Pradesh,2019,2W,125820,2207
Madhya Pradesh,2024,2W,40534,13601
Chhattisgarh,2024,4W,89281,25716
Punjab,2020,4W,62708,11616
Gujarat,2019,3W,50807,11830
Chhattisgarh,2018,2W,109165,19152
Chhattisgarh,2024,4W,63650,10784
Bihar,2021,4W,86344,19060
Delhi,2018,4W,71416,9565
Haryana,2023,3W,114264,16351
Tamil Nadu,2022,4W,68299,8528
Jharkhand,2017,2W,86726,16069
Punjab,2022,4W,56966,16666
Bihar,2017,2W,97781,9808
Assam,2021,4W,145565,36100
Jharkhand,2023,4W,75595,8743
Uttar Pradesh,2016,3W,98475,15563
Haryana,2024,2W,70258,22200
Assam,2020,4W,91257,26281
Rajasthan,2021,3W,77749,19177
Madhya Pradesh,2022,3W,67574,11090
Punjab,2024,4W,90098,17886
Punjab,2023,4W,64457,11224
Chhattisgarh,2017,2W,56258,22351
Chhattisgarh,2023,4W,77855,16047
Gujarat,2018,4W,43718,13244
West Bengal,2023,2W,40250,15269
Karnataka,2024,3W,68247,17708
Telangana,2016,3W,87868,14613
Tamil Nadu,2022,2W,54218,10921
Kerala,2021,2W,118441,29857
Bihar,2020,2W,142292,37144
Haryana,2023,2W,79296,17193
Punjab,2021,2W,99948,13466
Karnataka,2016,2W,147617,21762
Bihar,2024,3W,113619,21950
Rajasthan,2024,3W,62406,16411
Uttar Pradesh,2017,3W,120672,21304
Tamil Nadu,2020,2W,125535,33457
Delhi,2024,2W,65413,17954
Uttar Pradesh,2022,3W,43280,4661
Tamil Nadu,2021,3W,75815,17454
Jharkhand,2016,2W,50657,16771
Madhya Pradesh,2018,2W,96562,28407
Chhattisgarh,2018,4W,92770,31667
Gujarat,2016,3W,63732,15785
Gujarat,2022,4W,81194,9390
Bihar,2020,4W,86674,14573
Madhya Pradesh,2022,3W,42669,2462
Rajasthan,2018,3W,85757,6543
Telangana,2017,4W,102897,40878
Chhattisgarh,2024,4W,64239,11156
Odisha,2018,4W,128658,20245
Madhya Pradesh,2017,4W,98162,13629
Tamil Nadu,2020,4W,73946,13620
Haryana,2019,4W,110378,13063
Karnataka,2023,4W,117988,17456
Punjab,2018,4W,73510,13574
West Bengal,2023,3W,93995,8380
Rajasthan,2019,3W,64125,17364
Gujarat,2017,3W,67800,0
Delhi,2017,3W,31836,4445
Rajasthan,2016,3W,56680,6256
Kerala,2020,2W,63616,11771
Kerala,2021,3W,44634,8063
Chhattisgarh,2019,2W,85825,8352
Delhi,2021,2W,144355,25143
Assam,2021,3W,83602,12107
Chhattisgarh,2022,4W,75760,14051
Odisha,2019,3W,85007,3888
Delhi,2018,4W,92888,0
Karnataka,2018,2W,74364,11586
Maharashtra,2016,3W,116214,37993
West Bengal,2018,2W,51193,9827
Haryana,2020,4W,42993,1104
Delhi,2024,4W,132144,48092
Bihar,2024,2W,63794,8000
Madhya Pradesh,2024,2W,86682,16681
Tamil Nadu,2019,2W,97093,14402
Chhattisgarh,2019,2W,87510,16333
Odisha,2023,3W,141472,22187
Odisha,2024,2W,74786,12185
West Bengal,2022,4W,95241,23695
West Bengal,2024,4W,85874,8398
Assam,2019,3W,121416,14576
Rajasthan,2022,3W,80124,9498
Telangana,2018,4W,68031,21615
Karnataka,2020,3W,85802,29616
Gujarat,2023,2W,85070,20704
Bihar,2020,2W,58037,8827
West Bengal,2018,2W,139714,29670
Chhattisgarh,2024,2W,72798,21226
Rajasthan,2018,2W,37198,1730
Tamil Nadu,2018,4W,11342,2858
Uttar Pradesh,2024,2W,108725,27246
Assam,2023,2W,98606,31200
Rajasthan,2016,4W,51558,7198
Bihar,2019,3W,82847,2191
Odisha,2020,2W,106585,19410
Karnataka,2021,4W,67530,0
Rajasthan,2024,2W,51364,10481
Uttar Pradesh,2018,4W,55155,16402
West Bengal,2024,4W,145291,12556
Maharashtra,2018,4W,19677,1856
Odisha,2016,4W,104549,35086
Madhya Pradesh,2016,2W,85074,29124
Jharkhand,2021,3W,55761,12893
Tamil Nadu,2023,2W,85531,12126
Maharashtra,2022,2W,68569,17301
Tamil Nadu,2021,4W,69595,0
Kerala,2021,4W,55984,15203
Chhattisgarh,2016,4W,67871,1042
Gujarat,2021,4W,83719,4936
Tamil Nadu,2019,4W,129553,29661
Uttar Pradesh,2018,3W,71102,17299
Bihar,2020,2W,70159,13833
Jharkhand,2018,3W,119207,52717
Gujarat,2016,3W,77595,17775
Karnataka,2016,2W,75141,8930
Punjab,2018,3W,102965,3031
Kerala,2016,4W,96698,22228
Karnataka,2017,3W,86462,8616
Maharashtra,2019,3W,110277,31021
West Bengal,2020,3W,107117,27963
Kerala,2017,3W,75713,23547
Rajasthan,2018,2W,104851,0
Delhi,2017,4W,81865,13727
Tamil Nadu,2022,2W,71501,20782
Bihar,2022,2W,55555,10683
Delhi,2019,2W,46073,5126
Jharkhand,2018,2W,74884,20579
Rajasthan,2024,2W,42059,1178
Madhya Pradesh,2021,4W,54804,4223
Rajasthan,2024,2W,58603,13944
Karnataka,2020,4W,81715,36019
Chhattisgarh,2024,3W,149636,1512
Jharkhand,2023,2W,127152,31789
Delhi,2023,2W,59029,7720
Punjab,2023,4W,104135,6740
Madhya Pradesh,2021,4W,109735,20027
Karnataka,2024,2W,66333,5886
Rajasthan,2020,3W,142262,12520
Haryana,2023,2W,80464,18404
Uttar Pradesh,2017,2W,27323,4331
Madhya Pradesh,2021,2W,45642,0
Gujarat,2017,3W,68979,1987
Tamil Nadu,2020,2W,24187,0
West Bengal,2019,4W,76883,17842
Assam,2017,2W,67000,10606
Karnataka,2021,2W,131170,28415
Madhya Pradesh,2019,4W,65677,17896
Punjab,2016,3W,90212,26519
Maharashtra,2021,2W,32633,8065
Jharkhand,2023,4W,72093,15420
Bihar,2020,2W,55542,5889
Bihar,2017,2W,117269,38353
Tamil Nadu,2020,3W,93489,17094
Telangana,2016,2W,115834,12398
Odisha,2017,3W,29558,7377
Chhattisgarh,2018,2W,34531,6735
Telangana,2020,3W,71470,15784
Gujarat,2019,3W,98945,22791
Telangana,2024,2W,96401,5960
Odisha,2016,3W,138171,28159
West Bengal,2021,3W,84057,20466
Karnataka,2017,3W,68695,17567
Madhya Pradesh,2020,4W,95312,23796
Madhya Pradesh,2020,4W,55801,12012
Bihar,2018,4W,51895,6522
Telangana,2020,3W,37626,13572
Telangana,2019,2W,106490,24434
Karnataka,2021,2W,67046,7369
Jharkhand,2016,4W,25819,9173
Tamil Nadu,2018,4W,42554,6221
Punjab,2023,4W,67879,15951
Madhya Pradesh,2023,3W,71905,13395
Karnataka,2017,3W,69143,10371
Delhi,2024,3W,32488,1430
Delhi,2024,2W,49277,14993
Uttar Pradesh,2023,2W,56654,14426
Punjab,2024,2W,61546,20371
Chhattisgarh,2021,2W,132950,23543
Maharashtra,2023,2W,64004,14101
Assam,2022,2W,111752,12434
Tamil Nadu,2016,4W,110863,8554
Rajasthan,2024,3W,112000,18116
Karnataka,2023,4W,74796,16225
Bihar,2020,3W,6981,1630
Tamil Nadu,2018,4W,61766,0
Uttar Pradesh,2022,2W,119438,31301
Haryana,2021,3W,110424,18496
Chhattisgarh,2016,3W,101840,24624
Odisha,2020,4W,73718,11389
Chhattisgarh,2021,2W,66981,21543
Punjab,2019,3W,73321,14022
Jharkhand,2019,2W,67794,9210
Gujarat,2018,2W,81480,0
Madhya Pradesh,2023,2W,72383,12281
Chhattisgarh,2021,2W,59219,8188
Uttar Pradesh,2017,4W,86297,21948
Punjab,2023,2W,51985,17153
Uttar Pradesh,2018,3W,50159,4904
Maharashtra,2019,4W,71773,11764
Bihar,2024,3W,80351,21809
Bihar,2019,2W,58033,9641
Madhya Pradesh,2018,2W,119000,28046
Bihar,2023,2W,135723,27918
Jharkhand,2022,2W,77850,6251
Haryana,2022,2W,52467,3356
West Bengal,2018,3W,97647,15578
Tamil Nadu,2022,4W,58654,17216
Telangana,2016,3W,87401,24121
Bihar,2017,2W,109768,0
Chhattisgarh,2019,3W,85514,9671
Assam,2021,2W,90097,6561
Maharashtra,2017,3W,44431,9169
West Bengal,2021,3W,18714,6377
Kerala,2022,2W,69029,7287
Chhattisgarh,2018,3W,81618,29270
Rajasthan,2020,4W,66060,16474
Karnataka,2016,4W,138765,18838
Gujarat,2024,2W,99177,22574
Madhya Pradesh,2021,2W,91171,16728
Delhi,2023,2W,115788,13044
Gujarat,2017,4W,139034,46737
Odisha,2024,2W,138425,17427
West Bengal,2022,4W,33726,5751
Punjab,2021,4W,119339,37305
Gujarat,2020,2W,62458,13164
Tamil Nadu,2022,4W,68146,12080
Rajasthan,2017,4W,15559,993
West Bengal,2020,2W,83318,23518
Kerala,2020,3W,130490,15398
Chhattisgarh,2017,4W,43868,2233
Bihar,2023,4W,12893,2699
Assam,2020,2W,71871,21441
Telangana,2023,3W,115604,4982
Chhattisgarh,2024,3W,27084,11933
Bihar,2018,2W,45943,6097
Assam,2019,4W,93797,16610
Madhya Pradesh,2023,2W,102278,16723
Telangana,2020,4W,85657,30783
Karnataka,2016,4W,126221,26231
Bihar,2016,3W,76124,19586
Rajasthan,2023,4W,99883,19185
West Bengal,2018,4W,41565,7815
Chhattisgarh,2020,2W,36458,11195
Assam,2018,4W,121394,12758
Maharashtra,2020,4W,134477,18654
Madhya Pradesh,2020,2W,83111,13328
Punjab,2016,4W,70411,18463
Tamil Nadu,2021,4W,74510,8342
Jharkhand,2020,2W,96403,6948
Tamil Nadu,2022,3W,89101,3376
Karnataka,2021,2W,65574,8563
Delhi,2021,4W,104332,23273
Chhattisgarh,2018,2W,140008,33096
Tamil Nadu,2017,2W,107852,40470
Maharashtra,2016,3W,54330,18337
Tamil Nadu,2017,2W,89717,12708
Assam,2022,2W,96104,5621
Punjab,2024,3W,38085,2376
Tamil Nadu,2021,4W,81906,28048
Assam,2018,3W,14971,3355
Uttar Pradesh,2021,4W,85349,21187
Rajasthan,2022,2W,33831,6078
Haryana,2018,3W,94230,22763
Madhya Pradesh,2019,4W,72767,17192
Tamil Nadu,2018,2W,67905,8022
Rajasthan,2018,4W,81098,23007
Bihar,2020,4W,74591,10273
Gujarat,2018,4W,110204,29556
Telangana,2023,3W,35046,7825
Haryana,2022,4W,108747,31513
Tamil Nadu,2016,2W,93961,20237
Punjab,2017,2W,90514,10058
Rajasthan,2020,2W,110738,12496
Chhattisgarh,2023,4W,65312,17940
Maharashtra,2023,4W,83013,20394
Maharashtra,2017,3W,125546,12872
Rajasthan,2022,2W,76469,5298
Maharashtra,2017,3W,89879,14543
Odisha,2024,3W,46582,16290
Delhi,2020,4W,84393,4963
Madhya Pradesh,2023,3W,112981,38080
Assam,2024,4W,108559,33549
Odisha,2017,3W,66575,13559
Kerala,2024,3W,57296,4689
Haryana,2018,3W,89106,9985
Telangana,2021,2W,75793,12588
Tamil Nadu,2023,4W,163359,44103
Uttar Pradesh,2024,2W,68348,9946
Bihar,2016,4W,76126,11050
Odisha,2017,2W,10336,3649
Punjab,2021,4W,145065,30632
Bihar,2022,2W,59980,9704
Bihar,2018,2W,65923,11391
Odisha,2022,3W,64020,28559
Bihar,2024,2W,31234,4973
Delhi,2019,2W,123590,13455
Odisha,2016,4W,107258,402
Jharkhand,2021,3W,48614,4405
West Bengal,2021,2W,86139,10522
Karnataka,2020,2W,89082,14592
Rajasthan,2017,4W,48490,5413
Madhya Pradesh,2023,3W,68139,12954
Punjab,2018,3W,89227,12844
Odisha,2016,3W,23131,3322
Telangana,2021,4W,119825,11666
Maharashtra,2024,3W,60827,22399
Gujarat,2019,3W,113506,6238
Maharashtra,2017,2W,164525,0
Telangana,2024,2W,87591,1027
Assam,2022,4W,17071,3658
Telangana,2016,2W,59715,1386
Maharashtra,2021,2W,39672,9413
Kerala,2022,2W,110699,29513
Uttar Pradesh,2016,2W,75941,6504
Haryana,2018,4W,129924,25993
Chhattisgarh,2021,2W,44754,3226
West Bengal,2017,3W,66992,5158
Kerala,2016,2W,102101,17754
Gujarat,2018,3W,42112,10744
Odisha,2020,2W,92058,1338
Jharkhand,2020,3W,66791,4942
Jharkhand,2016,3W,87384,11598
Telangana,2022,2W,33823,9317
Odisha,2023,2W,14831,2195
Maharashtra,2021,4W,72899,15472
Maharashtra,2018,3W,106339,27319
Madhya Pradesh,2021,2W,5204,1204
West Bengal,2017,3W,55802,0
Chhattisgarh,2024,2W,82528,4166
Haryana,2017,4W,47075,16708
Gujarat,2019,2W,62139,17541
Bihar,2017,3W,125128,15462
Punjab,2024,2W,92934,8357
Odisha,2023,4W,88448,26133
Rajasthan,2018,4W,138347,35041
Uttar Pradesh,2019,4W,29649,7646
Punjab,2023,2W,102421,8637
Delhi,2021,4W,67259,18839
Punjab,2017,4W,111194,29630
Bihar,2024,4W,99444,30986
Delhi,2022,4W,120431,20452
Assam,2024,4W,59668,10326
Rajasthan,2021,4W,59342,8570
Haryana,2022,3W,131819,30732
Chhattisgarh,2023,2W,71137,2346
Delhi,2021,3W,52712,11414
Telangana,2023,4W,70484,387
West Bengal,2016,4W,87548,24851
Madhya Pradesh,2019,4W,32151,4378
Maharashtra,2018,3W,100564,18335
Karnataka,2024,4W,108062,23624
Assam,2016,3W,122718,15641
Tamil Nadu,2017,4W,88523,3970
Assam,2021,2W,86699,25055
Assam,2019,2W,99676,29593
Tamil Nadu,2021,4W,80687,3087
Assam,2021,4W,36614,5704
Delhi,2018,3W,31344,7662
West Bengal,2021,4W,53770,9506
Punjab,2022,4W,140469,33676
Punjab,2021,2W,92468,11105
Assam,2018,2W,117869,27457
Uttar Pradesh,2016,2W,92135,20453
Odisha,2022,2W,102368,25610
Maharashtra,2024,2W,92743,9345
Chhattisgarh,2016,3W,95028,21417
Haryana,2019,2W,127765,10765
Uttar Pradesh,2017,3W,158629,46523
Odisha,2020,2W,41773,4631
Punjab,2019,3W,92653,9001
Delhi,2017,4W,130518,20958
Madhya Pradesh,2018,3W,49670,8159
Chhattisgarh,2017,2W,69820,10918
Jharkhand,2022,2W,105184,16645
Gujarat,2020,2W,48090,14104
Bihar,2020,3W,78062,14455
Rajasthan,2021,3W,40360,3469
Delhi,2016,4W,91840,20910
Chhattisgarh,2020,3W,80873,9863
Punjab,2017,4W,124782,2961
Jharkhand,2024,2W,102570,23916
Madhya Pradesh,2016,3W,52602,10105
West Bengal,2021,2W,96102,7846
Assam,2017,2W,63879,19636
Chhattisgarh,2016,4W,52598,8213
Uttar Pradesh,2024,2W,124563,31921
Assam,2024,3W,115088,18542
Assam,2017,3W,98977,15516
Odisha,2022,4W,84161,23424
West Bengal,2017,3W,56754,0
Maharashtra,2021,4W,101468,22296
Kerala,2017,4W,68022,14317
West Bengal,2020,4W,101433,11583
Maharashtra,2016,4W,103918,25691
Chhattisgarh,2022,4W,27684,340
Karnataka,2018,3W,78546,14390
Maharashtra,2021,2W,28603,3931
Rajasthan,2016,4W,65444,3563
Delhi,2021,4W,97741,9149
Maharashtra,2023,3W,158298,33984
West Bengal,2024,4W,77931,15352
Odisha,2020,2W,70832,18312
Karnataka,2022,2W,60058,7250
Karnataka,2018,4W,80462,19458
Rajasthan,2017,2W,52109,12142
Bihar,2017,4W,42511,13329
Rajasthan,2021,3W,24185,6354
Karnataka,2018,4W,113052,19389
Punjab,2019,2W,94483,9543
Uttar Pradesh,2018,4W,115816,5745
Uttar Pradesh,2023,3W,44944,9843
West Bengal,2022,3W,58502,16870
Chhattisgarh,2022,2W,78036,12981
Odisha,2018,3W,40638,6038
Jharkhand,2017,3W,26123,443
Bihar,2020,2W,121949,30135
Maharashtra,2024,4W,51211,9061
Uttar Pradesh,2017,4W,137541,7613
Bihar,2019,2W,65634,21099
Haryana,2018,2W,26219,3314
Telangana,2020,4W,86971,17343
Gujarat,2019,3W,71951,21705
Uttar Pradesh,2018,3W,89988,21374
Chhattisgarh,2020,3W,100601,26172
Odisha,2022,2W,54305,9378
Uttar Pradesh,2023,3W,64459,17586
West Bengal,2021,3W,118028,17348
West Bengal,2022,3W,42089,7775
Uttar Pradesh,2024,2W,113343,20331
Jharkhand,2023,2W,67553,5540
Haryana,2016,2W,100936,10702
West Bengal,2022,4W,99127,25194
Tamil Nadu,2022,4W,25262,5882
Gujarat,2016,2W,105915,18091
Madhya Pradesh,2018,3W,76618,0
Maharashtra,2019,2W,69666,17821
Assam,2023,4W,104113,29159
Telangana,2022,2W,138210,21987
Jharkhand,2022,3W,73146,19547
Gujarat,2020,2W,116865,43388
Tamil Nadu,2023,3W,103917,35456
Jharkhand,2022,3W,92230,21844
Delhi,2019,2W,102230,23804
Karnataka,2019,3W,93376,32302
Bihar,2018,4W,94211,26773
Kerala,2017,3W,61825,10912
Assam,2017,4W,59586,6816
Haryana,2017,4W,64563,3224
Uttar Pradesh,2024,3W,50551,23102
Telangana,2021,4W,54791,14212
Delhi,2016,4W,55116,2319
Haryana,2017,3W,93455,13712
West Bengal,2016,4W,63953,8577
Karnataka,2024,2W,119930,33190
Odisha,2022,2W,90150,29063
Uttar Pradesh,2016,2W,78294,14194
Telangana,2021,4W,70781,9553
Assam,2023,2W,84334,11913
Telangana,2017,3W,77690,18797
Maharashtra,2017,2W,107352,13903
Kerala,2021,2W,77913,17985
Tamil Nadu,2020,3W,89724,0
Chhattisgarh,2017,3W,119679,27455
Rajasthan,2018,2W,67520,13482
Madhya Pradesh,2021,2W,56907,5915
Tamil Nadu,2021,2W,96436,27988
West Bengal,2024,4W,143090,9732
Punjab,2018,2W,115220,9856
Tamil Nadu,2022,4W,52778,12032
Karnataka,2020,2W,35272,9164
Jharkhand,2021,4W,79568,11888
West Bengal,2022,2W,29751,2895
Jharkhand,2017,4W,43089,0
Chhattisgarh,2022,3W,40472,4894
Karnataka,2018,4W,12527,1722
Maharashtra,2017,3W,85016,11068
Delhi,2020,2W,106796,4123
Gujarat,2024,2W,30345,8241
Gujarat,2020,4W,58658,10391
Karnataka,2016,4W,45996,5456
Delhi,2016,4W,72160,19238
West Bengal,2016,4W,51021,4373
Maharashtra,2020,3W,61087,15831
Madhya Pradesh,2018,4W,100162,32590
Karnataka,2021,4W,97943,12134
Rajasthan,2020,2W,74920,16419
Delhi,2016,3W,64930,15776
Assam,2020,4W,47786,4609
Assam,2020,2W,102843,22842
Assam,2020,3W,51364,8933
Haryana,2024,3W,63944,11470
Karnataka,2016,3W,81285,13885
Uttar Pradesh,2023,2W,50737,7241
Chhattisgarh,2021,2W,61006,14344
Telangana,2016,3W,69906,8060
Kerala,2020,4W,99440,3211
Chhattisgarh,2018,2W,69032,10515
Odisha,2024,4W,72985,22918
West Bengal,2020,3W,42271,9393
Maharashtra,2024,2W,64928,12941
Delhi,2020,2W,67547,11033
Chhattisgarh,2020,4W,89112,21059
Tamil Nadu,2024,3W,55888,1336
Uttar Pradesh,2022,4W,86142,13431
Tamil Nadu,2016,4W,117587,34445
Uttar Pradesh,2019,4W,119279,18713
Maharashtra,2022,4W,78461,17424
West Bengal,2019,3W,79101,12961
Jharkhand,2024,4W,74103,21595
Assam,2023,3W,64700,11093
Bihar,2017,2W,82213,7237
Delhi,2020,2W,73159,21485
Madhya Pradesh,2016,3W,66579,12671
Karnataka,2021,3W,127409,19481
Chhattisgarh,2020,2W,78603,8352
West Bengal,2017,2W,21265,3931
Madhya Pradesh,2022,3W,84089,33677
Rajasthan,2022,2W,123419,28127
Telangana,2017,2W,84982,4401
Telangana,2018,2W,80109,9276
Madhya Pradesh,2022,4W,116633,32583
Gujarat,2017,2W,84167,22421
West Bengal,2023,2W,108444,13678
Tamil Nadu,2023,4W,36949,1525
Haryana,2022,3W,118602,19819
Chhattisgarh,2023,4W,38389,7780
Karnataka,2022,4W,54581,13644
Delhi,2019,3W,85582,9694
Uttar Pradesh,2017,3W,86820,9913
Karnataka,2019,2W,86607,7282
Bihar,2024,2W,108155,26809
Telangana,2024,2W,38611,610
Madhya Pradesh,2021,2W,83234,9633
Jharkhand,2019,4W,48008,12036
Gujarat,2024,3W,34456,5496
Assam,2016,4W,5234,951
Tamil Nadu,2016,2W,77691,18375
Jharkhand,2022,3W,19908,4507
Telangana,2024,2W,46823,9602
Madhya Pradesh,2020,3W,36132,11290
Bihar,2017,2W,75397,2678
Haryana,2022,3W,126109,22561
Odisha,2017,4W,94715,10156
Kerala,2022,4W,97731,21907
Telangana,2021,2W,48961,14485
Madhya Pradesh,2016,4W,44119,4851
Delhi,2024,3W,62915,11461
Maharashtra,2016,4W,101393,15660
Madhya Pradesh,2021,3W,92837,23561
Jharkhand,2021,3W,36450,8715
Bihar,2018,2W,88252,11033
Chhattisgarh,2018,4W,57538,10474
Rajasthan,2024,4W,88881,6673
Madhya Pradesh,2021,3W,67608,13969
Uttar Pradesh,2019,3W,79230,10797
Odisha,2024,3W,94283,30706
Maharashtra,2017,2W,119576,18975
Tamil Nadu,2022,3W,5705,669
West Bengal,2020,4W,114783,22976
Tamil Nadu,2016,4W,77534,19910
Rajasthan,2016,3W,104749,15603
Rajasthan,2022,3W,72473,9486
Karnataka,2023,3W,74526,12471
Gujarat,2021,3W,56194,1065
Odisha,2017,3W,88369,35730
Gujarat,2017,3W,75412,13511
Kerala,2020,3W,115130,32773
Madhya Pradesh,2021,2W,50647,10620
Odisha,2023,2W,71940,5824
West Bengal,2024,2W,81187,15393
Madhya Pradesh,2020,3W,106142,16720
Maharashtra,2024,4W,60861,13411
Jharkhand,2022,3W,72976,24819
Jharkhand,2020,2W,135720,18018
Punjab,2019,2W,46099,4423
Bihar,2023,4W,107759,26554
Kerala,2020,4W,96572,8844
Delhi,2024,3W,68464,11849
Chhattisgarh,2024,2W,73666,16249
Chhattisgarh,2016,2W,41301,6525
Haryana,2021,2W,90738,27579
Delhi,2019,4W,81823,27081
Tamil Nadu,2024,3W,122831,33964
Karnataka,2019,3W,46138,7767
Madhya Pradesh,2021,2W,106716,10612
Jharkhand,2019,4W,83452,4877
Tamil Nadu,2016,4W,96444,19926
Haryana,2019,2W,57186,7349
Jharkhand,2022,3W,103599,13029
Uttar Pradesh,2016,3W,94664,33578
Uttar Pradesh,2024,2W,87742,13427
Chhattisgarh,2020,2W,119563,14827
Bihar,2019,4W,95760,34012
Karnataka,2016,3W,86643,24140
Delhi,2016,3W,64997,6075
Gujarat,2017,3W,105449,18726
Delhi,2019,2W,79457,21756
West Bengal,2018,3W,105336,35759
Delhi,2019,3W,86197,8742
Jharkhand,2023,4W,70635,10832
Jharkhand,2018,4W,78178,24021
Rajasthan,2020,4W,65304,15597
Kerala,2020,4W,111522,1351
Odisha,2017,3W,68101,8705
Madhya Pradesh,2018,2W,62925,14616
Haryana,2021,4W,3116,500
Kerala,2017,3W,8725,1935
Chhattisgarh,2019,2W,93423,32036
Kerala,2024,4W,79298,11981
Odisha,2022,4W,81585,19104
Gujarat,2024,4W,104052,28180
Uttar Pradesh,2024,4W,86094,5127
Uttar Pradesh,2022,4W,64857,3053
Chhattisgarh,2021,2W,91488,16290
Gujarat,2018,4W,16822,2791
Kerala,2019,3W,78129,14803
Tamil Nadu,2022,2W,60281,724
Tamil Nadu,2022,2W,112711,16694
Gujarat,2017,2W,57528,13170
Kerala,2024,3W,45478,6915
Punjab,2017,4W,71269,21479
Assam,2019,2W,98882,9175
Punjab,2023,4W,74190,13349
Delhi,2019,2W,117894,19360
Punjab,2022,4W,59345,6744
Rajasthan,2020,4W,102519,17574
Chhattisgarh,2020,2W,21143,6111
Punjab,2021,2W,70562,12389
Tamil Nadu,2022,4W,79099,14329
